Santo Antônio;MULTIPOLYGON(((-6210734.33244021 -3474843.98604749,-6210744.32161747 -3474842.52889221,-6210776.72574857 -3474842.353025,-6210800.34438118 -3474846.22005651,-6210826.46284464 -3474857.85779518,-6210848.43801854 -3474870.50486859,-6210866.7795147 -3474887.23975176,-6210883.52442459 -3474909.12712471,-6210900.26401128 -3474931.5314446,-6210910.83777065 -3474953.35409744,-6210919.31148624 -3474979.29015146,-6210925.76044632 -3475002.10326357,-6210937.801869 -3475031.17861616,-6210949.32364345 -3475060.76543869,-6210969.10086735 -3475087.85433278,-6210990.3994187 -3475117.02709885,-6211009.17503335 -3475141.52078332,-6211030.54911733 -3475163.45703019,-6211046.823314 -3475181.20421001,-6211086.24032923 -3475199.19438572,-6211112.36669099 -3475209.29068653,-6211132.86813833 -3475216.22615054,-6211166.69262818 -3475227.95402642,-6211197.82241329 -3475251.54338997,-6211216.62545265 -3475273.45266621,-6211233.29095585 -3475303.09375165,-6211251.34918745 -3475347.22419424,-6211265.68948434 -3475402.68886325,-6211285.60517057 -3475499.1479233,-6211285.78482314 -3475499.82375966,-6211360.05999136 -3475479.67822582,-6211487.37776382 -3475442.23368251,-6211588.44635104 -3475401.70339609,-6211677.17755768 -3475327.57212231,-6211651.29215661 -3475312.76224646,-6211620.94157039 -3475281.43843998,-6211598.48409211 -3475242.60445926,-6211587.70299521 -3475224.11119368,-6211589.8740593 -3475191.04912867,-6211586.52133469 -3475161.60540606,-6211579.47361716 -3475135.79924271,-6211580.70181614 -3475105.48449686,-6211579.13019058 -3475080.65478335,-6211568.37779681 -3475059.40497284,-6211556.71112044 -3475038.14573969,-6211549.80627469 -3474998.5560498,-6211539.32999558 -3474950.65822366,-6211529.55858822 -3474922.9858587,-6211510.75896909 -3474884.19108391,-6211487.3310552 -3474850.86199201,-6211448.52274766 -3474801.74903644,-6211426.9331441 -3474767.52025855,-6211412.53382532 -3474745.3137301,-6211396.33454965 -3474720.33138332,-6211338.65197745 -3474639.77550246,-6211248.25545748 -3474716.02266412,-6211186.48573933 -3474765.00027216,-6211137.67743637 -3474798.49089404,-6211103.69738423 -3474812.83811103,-6211037.67073881 -3474831.44384585,-6210993.98022525 -3474838.96618722,-6210988.80103916 -3474812.78013532,-6210852.45714458 -3474818.09074277,-6210818.8426322 -3474824.48077581,-6210750.01985429 -3474829.23595864,-6210734.33244021 -3474843.98604749)))
Centro;MULTIPOLYGON(((-6210045.11050082 -3475305.81689435,-6210042.00704835 -3475309.67180833,-6210016.2710758 -3475360.57793727,-6209994.21061741 -3475404.28562303,-6209986.07389412 -3475444.52222903,-6209975.26261206 -3475494.55275315,-6209959.75761174 -3475550.73731007,-6209932.91095279 -3475609.3868163,-6209904.70528714 -3475650.44536058,-6209882.36280379 -3475671.92122365,-6209867.09764541 -3475685.24078681,-6209854.85011904 -3475695.92726225,-6209822.39285452 -3475722.75277051,-6209793.91103963 -3475741.06175835,-6209683.57754337 -3475777.12643423,-6209664.3669034 -3475783.40565019,-6209551.72821085 -3475811.6236572,-6209327.37787928 -3475849.70402082,-6208967.71541781 -3475913.31473144,-6208899.97956826 -3475933.66759824,-6208784.86284139 -3475953.09284671,-6208801.07537685 -3476044.81827154,-6208816.29772511 -3476113.22250239,-6208831.31184371 -3476152.67360869,-6208846.84041648 -3476192.13031146,-6208861.40055307 -3476225.88995517,-6208881.54177038 -3476266.94708197,-6208901.23985677 -3476301.27864394,-6208933.3253771 -3476331.60658744,-6208991.09463229 -3476365.31039073,-6209048.90783968 -3476394.87861096,-6209106.38145293 -3476407.89911376,-6209166.47589664 -3476416.29423923,-6209272.96879457 -3476414.84318157,-6209349.61435739 -3476414.62477777,-6209409.23829642 -3476418.87786948,-6209451.85673654 -3476426.05196873,-6209484.73562863 -3476430.02039045,-6209545.4100845 -3476432.21606819,-6209661.20448069 -3476426.72455922,-6209726.62190717 -3476418.11280963,-6209779.09418775 -3476417.635252,-6209822.78502077 -3476420.68347488,-6209899.98846409 -3476416.3317839,-6209945.2872731 -3476413.19254736,-6209990.60773552 -3476407.98554808,-6210069.83056608 -3476407.27306075,-6210143.41737024 -3476404.43253129,-6210213.16045857 -3476424.81577758,-6210301.15467734 -3476470.72446886,-6210341.64633944 -3476484.59410195,-6210406.99474235 -3476531.8140429,-6210457.99074257 -3476574.2293985,-6210493.90974888 -3476602.27856708,-6210646.59469484 -3476459.28102979,-6210692.21695878 -3476434.32286621,-6210708.06353927 -3476456.29635799,-6210714.70791408 -3476452.57256905,-6210755.96924388 -3476440.51097252,-6210801.172341 -3476427.29691191,-6210861.2600253 -3476409.73137296,-6211081.26934837 -3476344.33567458,-6211244.52553155 -3476293.35829284,-6211401.84283319 -3476245.39030776,-6211567.8997098 -3476193.73577004,-6211727.79314497 -3476143.13895795,-6211757.28059316 -3476133.21784607,-6211712.93488276 -3476009.94923894,-6211704.97138826 -3475984.22458885,-6211686.10913896 -3475942.71884897,-6211669.0605679 -3475920.04744703,-6211599.07199991 -3475852.97459526,-6211553.91119423 -3475840.17283852,-6211501.30949069 -3475828.13125797,-6211451.76760638 -3475812.1268901,-6211391.85517736 -3475765.97626218,-6211357.04200029 -3475725.9896575,-6211331.21432859 -3475668.81545234,-6211307.01983945 -3475579.7208595,-6211285.78482314 -3475499.82375966,-6211285.60517057 -3475499.1479233,-6211265.68948434 -3475402.68886325,-6211251.34918745 -3475347.22419424,-6211233.29095585 -3475303.09375165,-6211216.62545265 -3475273.45266621,-6211197.82241329 -3475251.54338997,-6211166.69262818 -3475227.95402642,-6211132.86813833 -3475216.22615054,-6211112.36669099 -3475209.29068653,-6211086.24032923 -3475199.19438572,-6211046.823314 -3475181.20421001,-6211030.54911733 -3475163.45703019,-6211009.17503335 -3475141.52078332,-6210990.3994187 -3475117.02709885,-6210969.10086735 -3475087.85433278,-6210949.32364345 -3475060.76543869,-6210937.801869 -3475031.17861616,-6210925.76044632 -3475002.10326357,-6210919.31148624 -3474979.29015146,-6210910.83777065 -3474953.35409744,-6210900.26401128 -3474931.5314446,-6210883.52442459 -3474909.12712471,-6210866.7795147 -3474887.23975176,-6210848.43801854 -3474870.50486859,-6210826.46284464 -3474857.85779518,-6210800.34438118 -3474846.22005651,-6210776.72574857 -3474842.353025,-6210744.32161747 -3474842.52889221,-6210734.33244021 -3474843.98604749,-6210704.65839785 -3474848.31461054,-6210659.29647221 -3474868.43079312,-6210658.60907689 -3474868.73557298,-6210609.06625554 -3474890.73049868,-6210347.95217648 -3475072.00749478,-6210096.82648243 -3475241.57627779,-6210045.11050082 -3475305.81689435)))
Macedo;MULTIPOLYGON(((-6211677.17755768 -3475327.57212231,-6211588.44635104 -3475401.70339609,-6211487.37776382 -3475442.23368251,-6211360.05999136 -3475479.67822582,-6211285.78482314 -3475499.82375966,-6211307.01983945 -3475579.7208595,-6211331.21432859 -3475668.81545234,-6211357.04200029 -3475725.9896575,-6211391.85517736 -3475765.97626218,-6211451.76760638 -3475812.1268901,-6211501.30949069 -3475828.13125797,-6211553.91119423 -3475840.17283852,-6211592.57762476 -3475832.14712752,-6211693.55048099 -3475801.14733398,-6211898.15693261 -3475743.30009374,-6212041.05577097 -3475704.75713843,-6212082.90426333 -3475693.46929075,-6212066.69613875 -3475646.59427759,-6212077.25941164 -3475619.82210402,-6212091.25850181 -3475592.39642881,-6212083.32838422 -3475563.36380682,-6212071.29099758 -3475533.59908922,-6212052.35376901 -3475507.89813055,-6212026.48104052 -3475489.70712182,-6211995.7442861 -3475477.66878328,-6211971.02968142 -3475480.16818257,-6211938.68665292 -3475490.85929788,-6211905.10037503 -3475489.13028025,-6211879.91357476 -3475470.94616385,-6211844.54077566 -3475443.00567815,-6211815.28263784 -3475420.64328741,-6211788.71050791 -3475403.82319421,-6211751.23107839 -3475380.68551999,-6211730.88762215 -3475358.41617854,-6211716.0299159 -3475336.20417027,-6211691.47955316 -3475322.85134075,-6211677.17755768 -3475327.57212231)))
Izabel;MULTIPOLYGON(((-6211553.91119423 -3475840.17283852,-6211599.07199991 -3475852.97459526,-6211669.0605679 -3475920.04744703,-6211686.10913896 -3475942.71884897,-6211704.97138826 -3475984.22458885,-6211712.93488276 -3476009.94923894,-6211757.28059316 -3476133.21784607,-6211818.90644499 -3476308.76656134,-6211845.20923421 -3476306.79308791,-6212099.0321916 -3476223.72067019,-6212123.72723635 -3476208.17088744,-6212071.6465689 -3476042.76029865,-6212104.34013073 -3476029.34906453,-6212126.16836889 -3476017.24705489,-6212178.7612489 -3475949.9833626,-6212208.19767041 -3475911.71214799,-6212246.35448944 -3475862.10279964,-6212184.51192493 -3475823.7196088,-6212135.43161597 -3475794.77478915,-6212101.74321891 -3475769.60916862,-6212083.14059361 -3475728.05749887,-6212082.3733207 -3475702.71800283,-6212082.90426333 -3475693.46929075,-6212041.05577097 -3475704.75713843,-6211898.15693261 -3475743.30009374,-6211693.55048099 -3475801.14733398,-6211592.57762476 -3475832.14712752,-6211553.91119423 -3475840.17283852)))
Restinga;MULTIPOLYGON(((-6212123.72723635 -3476208.17088744,-6212218.44756824 -3476143.08368651,-6212254.13715307 -3476128.91273643,-6212343.95961324 -3476081.16168094,-6212381.22472972 -3476066.69072574,-6212404.739349 -3476052.06710433,-6212440.44798998 -3476027.47287281,-6212464.25727998 -3476006.22285998,-6212480.93964886 -3475992.07689792,-6212403.74979186 -3475895.46087984,-6212284.5501916 -3475882.50287066,-6212246.35448944 -3475862.10279964,-6212208.19767041 -3475911.71214799,-6212178.7612489 -3475949.9833626,-6212126.16836889 -3476017.24705489,-6212104.34013073 -3476029.34906453,-6212071.6465689 -3476042.76029865,-6212123.72723635 -3476208.17088744)))
Canudos;MULTIPOLYGON(((-6210659.29647221 -3474868.43079312,-6210704.65839785 -3474848.31461054,-6210734.33244021 -3474843.98604749,-6210750.01985429 -3474829.23595864,-6210818.8426322 -3474824.48077581,-6210852.45714458 -3474818.09074277,-6210988.80103916 -3474812.78013532,-6210993.98022525 -3474838.96618722,-6211037.67073881 -3474831.44384585,-6211103.69738423 -3474812.83811103,-6211137.67743637 -3474798.49089404,-6211186.48573933 -3474765.00027216,-6211248.25545748 -3474716.02266412,-6211338.65197745 -3474639.77550246,-6211293.73710079 -3474601.50698321,-6211271.91362792 -3474573.364324,-6211235.26801511 -3474536.27857433,-6211209.97915393 -3474495.17652451,-6211207.28168283 -3474358.68176521,-6211192.6109298 -3474285.64295624,-6211160.74747713 -3474193.5281994,-6211091.345849 -3474207.27351063,-6211003.41712753 -3474222.20220853,-6210931.42320793 -3474221.44586826,-6210869.04999547 -3474218.72266858,-6210809.50545923 -3474207.75828031,-6210754.08935936 -3474195.45862922,-6210679.57564822 -3474173.30888695,-6210630.33801434 -3474160.38462369,-6210592.83544826 -3474140.00249967,-6210552.70550962 -3474108.56530031,-6210506.81981367 -3474168.73207264,-6210519.1938363 -3474203.8739304,-6210527.67343763 -3474235.15127323,-6210524.03328226 -3474262.50782106,-6210512.46638815 -3474285.98773815,-6210519.34793313 -3474309.66204704,-6210516.26348169 -3474323.95923344,-6210517.72073681 -3474345.04774508,-6210549.5255253 -3474471.82259247,-6210567.16109017 -3474549.9800442,-6210615.32565889 -3474716.54774052,-6210653.377842 -3474847.60647761,-6210659.29647221 -3474868.43079312)))
Rui Ramos;MULTIPOLYGON(((-6209594.1238903 -3474324.72123168,-6209881.93734435 -3474251.23369274,-6209962.33412503 -3474222.16124967,-6209972.11004477 -3474209.62095353,-6210132.82728272 -3474158.63865567,-6210127.65890417 -3474131.61082107,-6210215.9618424 -3474108.24007611,-6210303.93484227 -3474076.29557105,-6210333.00156228 -3474063.53740922,-6210440.29070467 -3474021.23170996,-6210402.37432802 -3473974.88507584,-6210355.51791289 -3473909.1465715,-6210325.05005731 -3473850.01379925,-6210306.29398133 -3473807.54537246,-6210298.65214375 -3473751.41060684,-6210301.30621715 -3473672.41192278,-6210309.49327407 -3473588.87769952,-6210309.17430668 -3473531.90222843,-6210322.81724998 -3473451.18308073,-6210333.56408025 -3473385.13617733,-6210326.7212063 -3473340.03833124,-6210297.98699978 -3473290.11514717,-6210246.55332524 -3473225.25037389,-6210188.70192611 -3473162.15566367,-6210124.57717606 -3473087.04946501,-6210085.75054556 -3473040.69556116,-6210053.27492678 -3472999.00330947,-6210013.79438487 -3472927.83337011,-6209975.04560142 -3472874.12977785,-6209941.78171581 -3472820.48434081,-6209907.65220131 -3472762.23563856,-6209875.29327608 -3472709.51897092,-6209847.38963854 -3472667.87557601,-6209823.81583838 -3472649.24910312,-6209776.0805457 -3472668.03914534,-6209717.36644327 -3472687.63144025,-6209658.54596785 -3472717.32958279,-6209598.69540962 -3472758.04284741,-6209554.31668225 -3472805.35197274,-6209499.07444645 -3472842.43845196,-6209440.3301817 -3472864.78597636,-6209376.18787954 -3472878.80612757,-6209339.2465439 -3472914.24888145,-6209334.11522906 -3472967.48812829,-6209350.6616915 -3473045.76740023,-6209378.31316726 -3473111.30097522,-6209404.19465859 -3473171.30271326,-6209431.92407025 -3473229.48657335,-6209470.33347603 -3473315.35064108,-6209497.96678551 -3473382.72290507,-6209517.25717848 -3473461.03362488,-6209549.21078733 -3473552.34381312,-6209575.77643781 -3473634.4084081,-6209594.71051078 -3473746.71651674,-6209605.85162239 -3473817.59154295,-6209606.69549887 -3473911.33077179,-6209607.58762532 -3474000.47651012,-6209608.63417842 -3474074.92139513,-6209600.7289954 -3474218.19281803,-6209594.1238903 -3474324.72123168)))
Vila Nova;MULTIPOLYGON(((-6209594.1238903 -3474324.72123168,-6209599.19570617 -3474456.26602334,-6209602.90025343 -3474567.80701825,-6209600.89612525 -3474642.52910843,-6209602.22694587 -3474747.91995556,-6209591.34219212 -3474855.63265589,-6209564.80312917 -3474944.79998917,-6209538.50851569 -3475010.68893527,-6209507.53801383 -3475057.45907709,-6209478.90979055 -3475106.0921948,-6209434.36506708 -3475168.34164266,-6210013.04918157 -3475113.82377738,-6210045.11050082 -3475305.81689435,-6210096.82648243 -3475241.57627779,-6210347.95217648 -3475072.00749478,-6210609.06625554 -3474890.73049868,-6210658.60907689 -3474868.73557298,-6210659.29647221 -3474868.43079312,-6210653.377842 -3474847.60647761,-6210615.32565889 -3474716.54774052,-6210567.16109017 -3474549.9800442,-6210549.5255253 -3474471.82259247,-6210517.72073681 -3474345.04774508,-6210516.26348169 -3474323.95923344,-6210519.34793313 -3474309.66204704,-6210512.46638815 -3474285.98773815,-6210524.03328226 -3474262.50782106,-6210527.67343763 -3474235.15127323,-6210519.1938363 -3474203.8739304,-6210506.81981367 -3474168.73207264,-6210552.70550962 -3474108.56530031,-6210484.64982981 -3474068.64482196,-6210440.29070467 -3474021.23170996,-6210333.00156228 -3474063.53740922,-6210303.93484227 -3474076.29557105,-6210215.9618424 -3474108.24007611,-6210127.65890417 -3474131.61082107,-6210132.82728272 -3474158.63865567,-6209972.11004477 -3474209.62095353,-6209962.33412503 -3474222.16124967,-6209881.93734435 -3474251.23369274,-6209594.1238903 -3474324.72123168)))
Área Militar;MULTIPOLYGON(((-6208784.86284139 -3475953.09284671,-6208899.97956826 -3475933.66759824,-6208967.71541781 -3475913.31473144,-6209327.37787928 -3475849.70402082,-6209321.21895958 -3475806.65792815,-6209491.35382728 -3475774.08131272,-6209486.93590786 -3475752.38428901,-6209526.314379 -3475743.03878721,-6209538.48283865 -3475671.43770663,-6209625.48131191 -3475609.72300562,-6209720.3005378 -3475609.94146554,-6209807.18654638 -3475610.14098864,-6209818.19668749 -3475659.96046217,-6209850.37743103 -3475652.23587387,-6209867.09764541 -3475685.24078681,-6209882.36280379 -3475671.92122365,-6209904.70528714 -3475650.44536058,-6209932.91095279 -3475609.3868163,-6209959.75761174 -3475550.73731007,-6209975.26261206 -3475494.55275315,-6209986.07389412 -3475444.52222903,-6209994.21061741 -3475404.28562303,-6210016.2710758 -3475360.57793727,-6210042.00704835 -3475309.67180833,-6210045.11050082 -3475305.81689435,-6210013.04918157 -3475113.82377738,-6209434.36506708 -3475168.34164266,-6209390.06305523 -3475224.46934749,-6209350.83398506 -3475266.7455785,-6209306.06468527 -3475308.96299821,-6209261.37342199 -3475343.75604639,-6209207.3507439 -3475387.73109089,-6209155.21347304 -3475428.01357523,-6209103.21291488 -3475455.30351371,-6209058.59882285 -3475482.6721372,-6208995.28263968 -3475532.11636482,-6208945.02999059 -3475568.70591478,-6208890.96609479 -3475616.39249912,-6208848.02126027 -3475660.48499033,-6208825.31139814 -3475712.21880556,-6208806.27531799 -3475765.84839432,-6208792.58290703 -3475838.09821566,-6208782.76058841 -3475893.68296409,-6208784.86284139 -3475953.09284671)))
Boa Vista;MULTIPOLYGON(((-6212082.90426333 -3475693.46929075,-6212082.3733207 -3475702.71800283,-6212083.14059361 -3475728.05749887,-6212101.74321891 -3475769.60916862,-6212135.43161597 -3475794.77478915,-6212184.51192493 -3475823.7196088,-6212246.35448944 -3475862.10279964,-6212284.5501916 -3475882.50287066,-6212403.74979186 -3475895.46087984,-6212480.93964886 -3475992.07689792,-6212584.14221247 -3475910.0979053,-6212663.30125962 -3475859.0732103,-6212750.6205543 -3475809.71365033,-6212827.25905783 -3475758.97837503,-6212490.52102166 -3475314.80263637,-6212475.43117911 -3475314.08394805,-6212171.54361796 -3475556.30045148,-6212082.90426333 -3475693.46929075)))
Joaquim Fonseca Milano;MULTIPOLYGON(((-6212123.72723635 -3476208.17088744,-6212099.0321916 -3476223.72067019,-6211845.20923421 -3476306.79308791,-6211876.40439136 -3476407.91511092,-6211876.81784352 -3476428.78521906,-6211884.50115444 -3476446.253596,-6211895.4887261 -3476473.90138057,-6211900.874354 -3476505.54449864,-6211904.33173403 -3476536.24724354,-6211905.02051349 -3476560.91423173,-6211900.31014912 -3476590.58339816,-6211897.08210144 -3476630.79092985,-6211888.04892794 -3476652.6165697,-6212032.36968784 -3476607.75317857,-6212074.32005378 -3476728.75092667,-6212159.2843807 -3476705.18694806,-6212163.90715248 -3476682.17145732,-6212189.06755716 -3476652.08265278,-6212261.95170137 -3476539.02662282,-6212354.87394117 -3476404.36523153,-6212448.6790907 -3476275.40438814,-6212462.12943706 -3476252.14944502,-6212522.47641433 -3476164.8885859,-6212539.0618182 -3476142.61474293,-6212586.35963785 -3476077.44585321,-6212480.93964886 -3475992.07689792,-6212464.25727998 -3476006.22285998,-6212440.44798998 -3476027.47287281,-6212404.739349 -3476052.06710433,-6212381.22472972 -3476066.69072574,-6212343.95961324 -3476081.16168094,-6212254.13715307 -3476128.91273643,-6212218.44756824 -3476143.08368651,-6212123.72723635 -3476208.17088744)))
Vera Cruz;MULTIPOLYGON(((-6211888.04892794 -3476652.6165697,-6211879.24099398 -3476654.72930935,-6211888.46698149 -3476716.28148387,-6211901.85956497 -3476756.40084774,-6211923.50048819 -3476793.63264431,-6211956.43130856 -3476851.79821295,-6211977.15812359 -3476882.0820062,-6212019.20465522 -3476948.93374638,-6212078.20890234 -3477043.27698807,-6212100.21127699 -3477077.42917668,-6212108.76794654 -3477097.78401375,-6212126.62942865 -3477093.30216035,-6212185.53816782 -3477074.94607704,-6212275.14386183 -3477048.89987493,-6212277.93385925 -3477047.27711295,-6212286.5364991 -3477042.27373076,-6212347.15792461 -3477101.92190102,-6212394.88754262 -3477150.89721112,-6212406.51301493 -3477162.40017216,-6212447.6196868 -3477202.87537769,-6212463.36534796 -3477221.58769899,-6212493.48605367 -3477269.95845205,-6212505.8291171 -3477293.2724068,-6212541.82224273 -3477260.06218062,-6212580.92584003 -3477209.88151968,-6212606.53952194 -3477166.30564969,-6212630.86132628 -3477139.57865657,-6212642.37987581 -3477107.09795672,-6212685.27640569 -3477014.23963027,-6212704.86970187 -3476965.38310711,-6212712.56454232 -3476951.23562652,-6212720.0783732 -3476947.15272951,-6212727.81511531 -3476901.70582053,-6212737.51709772 -3476882.69631611,-6212772.95295813 -3476810.09399419,-6212796.80090985 -3476764.19809569,-6212812.25354865 -3476753.34468969,-6212833.60281862 -3476680.43550057,-6212875.71321001 -3476591.882237,-6212922.89690547 -3476478.71194182,-6212955.43187819 -3476383.45263653,-6212973.22565795 -3476338.94724074,-6212858.1874901 -3476235.16088123,-6212586.35963785 -3476077.44585321,-6212539.0618182 -3476142.61474293,-6212522.47641433 -3476164.8885859,-6212462.12943706 -3476252.14944502,-6212448.6790907 -3476275.40438814,-6212354.87394117 -3476404.36523153,-6212261.95170137 -3476539.02662282,-6212189.06755716 -3476652.08265278,-6212163.90715248 -3476682.17145732,-6212159.2843807 -3476705.18694806,-6212074.32005378 -3476728.75092667,-6212032.36968784 -3476607.75317857,-6211888.04892794 -3476652.6165697)))
Sepé Tiarajú;MULTIPOLYGON(((-6212505.8291171 -3477293.2724068,-6212525.93676826 -3477336.48061812,-6212566.01301423 -3477409.26519573,-6212672.87165307 -3477296.27209545,-6212732.18035292 -3477238.99345605,-6212706.48118993 -3477215.34999482,-6212997.59427617 -3476908.93729199,-6213079.98579407 -3476820.70245699,-6213158.53726098 -3476734.16260371,-6213236.10607089 -3476653.18824624,-6213275.5162655 -3476608.74269176,-6212973.22565795 -3476338.94724074,-6212955.43187819 -3476383.45263653,-6212922.89690547 -3476478.71194182,-6212875.71321001 -3476591.882237,-6212833.60281862 -3476680.43550057,-6212812.25354865 -3476753.34468969,-6212796.80090985 -3476764.19809569,-6212772.95295813 -3476810.09399419,-6212737.51709772 -3476882.69631611,-6212727.81511531 -3476901.70582053,-6212720.0783732 -3476947.15272951,-6212712.56454232 -3476951.23562652,-6212704.86970187 -3476965.38310711,-6212685.27640569 -3477014.23963027,-6212642.37987581 -3477107.09795672,-6212630.86132628 -3477139.57865657,-6212606.53952194 -3477166.30564969,-6212580.92584003 -3477209.88151968,-6212541.82224273 -3477260.06218062,-6212505.8291171 -3477293.2724068)))
Ibirapuitã;MULTIPOLYGON(((-6208040.98654662 -3475561.13839047,-6208103.38743422 -3475641.08436318,-6208262.92595188 -3475965.65923997,-6208245.81883208 -3475981.55777987,-6208258.56443203 -3475985.98031298,-6208266.27521155 -3475996.06323225,-6208270.37740478 -3476010.8200888,-6207991.4081137 -3476050.1788955,-6208047.21164832 -3476145.50438456,-6207999.74970931 -3476164.28129955,-6208142.27270948 -3476322.70435732,-6208154.43554562 -3476349.60662951,-6208183.8548773 -3476406.69816195,-6208241.95616643 -3476521.37868828,-6208257.38856695 -3476554.53168365,-6208298.67462614 -3476682.48490916,-6208314.18199118 -3476736.74586053,-6208300.93054472 -3476821.50998529,-6208394.76440771 -3476794.95349436,-6208453.59315426 -3476776.83178048,-6208511.59385349 -3476761.37988211,-6208589.72182961 -3476738.28305025,-6208557.24307272 -3476603.55098066,-6208549.02485685 -3476584.95685932,-6208542.6802423 -3476566.82196075,-6208540.31635429 -3476558.5844081,-6208506.4868115 -3476568.4067173,-6208467.39474957 -3476417.68712681,-6208460.41940987 -3476387.7365637,-6208595.64628825 -3476348.94432437,-6208612.69752697 -3476344.46569615,-6208640.70150106 -3476337.92917291,-6208637.96006125 -3476328.32332382,-6208689.07084116 -3476315.20819279,-6208709.64859811 -3476308.28148427,-6208845.68227362 -3476270.31652382,-6208824.01466133 -3476233.13093502,-6208801.70393753 -3476179.51438832,-6208803.5201863 -3476162.2885485,-6208793.77740444 -3476156.43612399,-6208778.75007259 -3476109.46720072,-6208763.88782542 -3476046.89763924,-6208758.88979857 -3475978.68534141,-6208753.3361794 -3475963.02344034,-6208751.22396822 -3475930.97447585,-6208756.31674657 -3475912.96289533,-6208749.92003546 -3475899.75553667,-6208755.00411964 -3475882.5649855,-6208755.57721275 -3475828.37318964,-6208767.34434376 -3475797.29401055,-6208776.9295874 -3475740.7352718,-6208806.95553499 -3475682.75269652,-6208847.54043902 -3475630.63115978,-6208874.92414932 -3475590.68633121,-6208895.59018842 -3475567.91430962,-6208686.90912524 -3475445.79642278,-6208040.98654662 -3475561.13839047)))
Oswaldo Aranha;MULTIPOLYGON(((-6208589.72182961 -3476738.28305025,-6208650.28006437 -3476721.47910459,-6208709.69330299 -3476704.56484263,-6208742.92106641 -3476715.96355724,-6208969.6298208 -3476757.80364884,-6209091.2657947 -3476458.53064533,-6209083.2086223 -3476447.76899705,-6209051.3897592 -3476443.32365633,-6209031.07789487 -3476432.43121746,-6209009.1408696 -3476420.70031163,-6208976.62650429 -3476404.75041601,-6208948.16235272 -3476392.12846356,-6208945.0419528 -3476378.13455197,-6208923.10498738 -3476366.40343583,-6208908.43417736 -3476362.96197353,-6208882.59466998 -3476333.94380227,-6208855.11263837 -3476305.72921564,-6208850.41046763 -3476286.79116702,-6208845.68227363 -3476270.31652382,-6208709.64859811 -3476308.28148427,-6208689.07084116 -3476315.20819279,-6208637.96006125 -3476328.32332382,-6208640.70150106 -3476337.92917291,-6208612.69752697 -3476344.46569615,-6208595.64628825 -3476348.94432437,-6208460.41940987 -3476387.7365637,-6208467.39474957 -3476417.68712681,-6208506.4868115 -3476568.4067173,-6208540.31635429 -3476558.5844081,-6208542.6802423 -3476566.82196075,-6208549.02485686 -3476584.95685932,-6208557.24307272 -3476603.55098066,-6208589.72182961 -3476738.28305025)))
